BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJDB4919	DRR062863	SAMD00053719	NA	NA	seedling having three leaves	Foma	SAMD00053719	NA	sample name:T1 cDNA library;  cultivar:Foma;  dev stage:seedling having three leaves;  tissue type:third leaf
PRJDB4919	DRR062864	SAMD00053720	NA	NA	seedling having three leaves	NA	SAMD00053720	NA	sample name:T2 cDNA library;  dev stage:seedling having three leaves;  strain:cer-zv.342;  tissue type:third leaf
PRJDB4754	DRR087971	SAMD00074917	NA	NA	NA	Foma	SAMD00074917	NA	sample name:Foma AP1;  cultivar:Foma
PRJDB4754	DRR087972	SAMD00074918	NA	NA	NA	Foma	SAMD00074918	NA	sample name:Foma AP2;  cultivar:Foma
PRJDB4754	DRR087973	SAMD00074919	NA	NA	NA	Foma	SAMD00074919	NA	sample name:Foma AP3;  cultivar:Foma
PRJDB4754	DRR087974	SAMD00074920	NA	NA	NA	Foma	SAMD00074920	NA	sample name:Deficiens2 AP1;  cultivar:Foma
PRJDB4754	DRR087975	SAMD00074921	NA	NA	NA	Foma	SAMD00074921	NA	sample name:Deficiens2 AP2;  cultivar:Foma
PRJDB4754	DRR087976	SAMD00074922	NA	NA	NA	Foma	SAMD00074922	NA	sample name:Deficiens2 AP3;  cultivar:Foma
PRJEB12540	ERR1248084	SAMEA3857507	NA	NA	NA	NA	SAMEA3857507	NA	ENA first public:2016-04-30;  ENA last update:2017-04-06;  ENA-CHECKLIST:ERC000011;  External Id:SAMEA3857507;  INSDC center alias:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC center name:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC first public:2016-04-30T17:10:34Z;  INSDC last update:2017-04-06T13:17:51Z;  INSDC status:public;  Submitter Id:SCYIC 1 6 19;  common name:domesticated barley;  sample name:SCYIC 1 6 19;  sub species:vulgare
PRJEB12540	ERR1248085	SAMEA3857508	NA	NA	NA	NA	SAMEA3857508	NA	ENA first public:2016-04-30;  ENA last update:2017-04-06;  ENA-CHECKLIST:ERC000011;  External Id:SAMEA3857508;  INSDC center alias:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC center name:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC first public:2016-04-30T17:10:34Z;  INSDC last update:2017-04-06T13:17:51Z;  INSDC status:public;  Submitter Id:SCYIC 2 4 22;  common name:domesticated barley;  sample name:SCYIC 2 4 22;  sub species:vulgare
PRJEB12540	ERR1248086	SAMEA3857509	NA	NA	NA	NA	SAMEA3857509	NA	ENA first public:2016-04-30;  ENA last update:2017-04-06;  ENA-CHECKLIST:ERC000011;  External Id:SAMEA3857509;  INSDC center alias:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC center name:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC first public:2016-04-30T17:10:34Z;  INSDC last update:2017-04-06T13:17:51Z;  INSDC status:public;  Submitter Id:SCYID 1 6 18;  common name:domesticated barley;  sample name:SCYID 1 6 18;  sub species:vulgare
PRJEB12540	ERR1248087	SAMEA3857510	NA	NA	NA	NA	SAMEA3857510	NA	ENA first public:2016-04-30;  ENA last update:2017-04-06;  ENA-CHECKLIST:ERC000011;  External Id:SAMEA3857510;  INSDC center alias:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC center name:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC first public:2016-04-30T17:10:34Z;  INSDC last update:2017-04-06T13:17:51Z;  INSDC status:public;  Submitter Id:SCYID 2 5 23;  common name:domesticated barley;  sample name:SCYID 2 5 23;  sub species:vulgare
PRJEB12540	ERR1248088	SAMEA3857511	NA	NA	NA	NA	SAMEA3857511	NA	ENA first public:2016-04-30;  ENA last update:2017-04-06;  ENA-CHECKLIST:ERC000011;  External Id:SAMEA3857511;  INSDC center alias:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC center name:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC first public:2016-04-30T17:10:34Z;  INSDC last update:2017-04-06T13:17:51Z;  INSDC status:public;  Submitter Id:SCYIG 1 4 6;  common name:domesticated barley;  sample name:SCYIG 1 4 6;  sub species:vulgare
PRJEB12540	ERR1248089	SAMEA3857512	NA	NA	NA	NA	SAMEA3857512	NA	ENA first public:2016-04-30;  ENA last update:2017-04-06;  ENA-CHECKLIST:ERC000011;  External Id:SAMEA3857512;  INSDC center alias:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC center name:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC first public:2016-04-30T17:10:34Z;  INSDC last update:2017-04-06T13:17:51Z;  INSDC status:public;  Submitter Id:SCYIG 2 4 25;  common name:domesticated barley;  sample name:SCYIG 2 4 25;  sub species:vulgare
PRJEB12540	ERR1248116	SAMEA3857519	NA	NA	NA	NA	SAMEA3857519	NA	ENA first public:2016-04-30;  ENA last update:2017-04-06;  ENA-CHECKLIST:ERC000011;  External Id:SAMEA3857519;  INSDC center alias:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC center name:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC first public:2016-04-30T17:10:34Z;  INSDC last update:2017-04-06T13:17:30Z;  INSDC status:public;  Submitter Id:SCLFC 1 7 8;  common name:domesticated barley;  sample name:SCLFC 1 7 8;  sub species:vulgare
PRJEB12540	ERR1248117	SAMEA3857520	NA	NA	NA	NA	SAMEA3857520	NA	ENA first public:2016-04-30;  ENA last update:2017-04-06;  ENA-CHECKLIST:ERC000011;  External Id:SAMEA3857520;  INSDC center alias:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC center name:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC first public:2016-04-30T17:10:35Z;  INSDC last update:2017-04-06T13:17:30Z;  INSDC status:public;  Submitter Id:SCLFC 2 8 12;  common name:domesticated barley;  sample name:SCLFC 2 8 12;  sub species:vulgare
PRJEB12540	ERR1248118	SAMEA3857521	NA	NA	NA	NA	SAMEA3857521	NA	ENA first public:2016-04-30;  ENA last update:2017-04-06;  ENA-CHECKLIST:ERC000011;  External Id:SAMEA3857521;  INSDC center alias:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC center name:Estacion Experimental de Aula Dei (CSIC - Spain);  INSDC first public:2016-04-30T17:10:34Z;  INSDC last update:2017-04-06T13:17:30Z;  INSDC status:public;  Submitter Id:SCLFC 3 5 27;  common name:domesticated barley;  sample name:SCLFC 3 5 27;  sub species:vulgare
