BioProject	SRA	Biosample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA604026	SRR10991573	SAMN13948223	NA	NA	NA	Nipponbare	GSM4290986	NA	source_name:3-week-old_seedling;cultivar:Nipponbare
PRJNA604026	SRR10991574	SAMN13948222	NA	NA	NA	Nipponbare	GSM4290987	NA	source_name:3-week-old_seedling;cultivar:Nipponbare
PRJNA604026	SRR10991575	SAMN13948221	NA	NA	NA	Nipponbare	GSM4290988	NA	source_name:3-week-old_seedling;cultivar:Nipponbare
PRJNA604026	SRR10991576	SAMN13948220	NA	NA	NA	Nipponbare	GSM4290989	NA	source_name:3-week-old_seedling;cultivar:Nipponbare
PRJNA604026	SRR10991577	SAMN13948219	NA	NA	NA	Nipponbare	GSM4290990	NA	source_name:3-week-old_seedling;cultivar:Nipponbare
PRJNA604026	SRR10991578	SAMN13948218	NA	NA	NA	Nipponbare	GSM4290991	NA	source_name:3-week-old_seedling;cultivar:Nipponbare
PRJNA631555	SRR11784188	SAMN14883675	NA	anther	NA	NA	AP1	NA	strain:not_collected;isolate:missing;breed:nipponbare;cultivar:not_collected;ecotype:missing;age:not_collected;dev_stage:missing;sex:male;tissue:anther
PRJNA631555	SRR11784189	SAMN14883674	NA	anther	NA	NA	WT	NA	strain:not_applicable;isolate:missing;breed:nipponbare;cultivar:missing;ecotype:not_applicable;age:missing;dev_stage:not_applicable;sex:male;tissue:anther
PRJNA262032	SRR1618546	SAMN03079341	NA	anther	NA	Nipponbare (EFO 0007587)	anthers	NA	ENA_first_public:2016-05-20;ENA_last_update:2016-05-20;ENA-CHECKLIST:ERC000035;External_Id:SAMEA3998141;INSDC_center_alias:ENA;INSDC_center_name:ENA;INSDC_first_public:2016-05-20T16:38:06Z;INSDC_last_update:2016-05-20T15:56:30Z;INSDC_status:public;Submitter_Id:SRR1618546_SAMN03079341;common_name:Japanese_rice;cultivar:Nipponbare_(EFO_0007587);experimental_factor_1:organism_part;organism_part:anther_(EFO_0005101);recurated_from:SAMN03079341;sample_name:SRR1618546_SAMN03079341;sampling_time_point:before_flowering;cultivar:Nipponbare;biomaterial_provider:Guangdong_Academy_Of_Agricultural_Sciences;tissue:anthers;geo_loc_name:missing;age:missing
PRJNA262032	SRR1618547	SAMN03079342	NA	pistils	NA	Nipponbare (EFO 0007587)	pistils	NA	ENA_first_public:2016-05-20;ENA_last_update:2016-05-20;ENA-CHECKLIST:ERC000035;External_Id:SAMEA3998142;INSDC_center_alias:ENA;INSDC_center_name:ENA;INSDC_first_public:2016-05-20T16:38:06Z;INSDC_last_update:2016-05-20T15:56:30Z;INSDC_status:public;Submitter_Id:SRR1618547_SAMN03079342;common_name:Japanese_rice;cultivar:Nipponbare_(EFO_0007587);experimental_factor_1:organism_part;organism_part:carpel_(EFO_0001051);recurated_from:SAMN03079342;sample_name:SRR1618547_SAMN03079342;sampling_time_point:before_flowering;cultivar:Nipponbare;biomaterial_provider:Guangdong_Academy_Of_Agricultural_Sciences;tissue:pistils;geo_loc_name:missing;age:missing
