BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJEB71762	ERR12421814	SAMEA115094605	NA	NA	NA	NA	Illumina23	NA	culture rooting medium:missing: not collected; sample volume or weight for DNA extraction:0.5g; source material identifiers:tbd; isolation and growth condition:selfed; rooting medium carbon:missing: not collected; collection date:2022; rooting medium pH:not applicable; geographic location (longitude):AwKRNAseqLowP; plant structure:vegetative; subspecific genetic lineage rank:not applicable; growth facility:Pearl millet; mineral nutrient regimen:not applicable; rooting medium solidifier:missing: not collected; plant growth medium:missing: not collected; plant treatment:not applicable; soil pH:Hydroponics; number of replicons:7; rooting medium regulators:missing: not collected; geographic location (country and/or sea):Saudi Arabia; organism common name:not applicable; organism:Cenchrus americanus; air temperature regimen:low phosphate; rooting medium organic supplements:missing: not collected; watering regimen:not applicable; geographic location (latitude):22ï¿½ 18'; scientific name:Cenchrus americanus; rooting medium macronutrients:missing: not collected; rooting medium micronutrients:missing: not collected; subspecific genetic lineage name:not applicable; plant developmental stage:healthy; ploidy:diploid; estimated size:1800000000; propagation:whole root; light regimen:ERC000037; sample health state:not applicable; rooting conditions:missing: not collected; soil taxonomic/FAO classification:missing: not collected; sample disease status:growth chamber
PRJEB71762	ERR12421815	SAMEA115094606	NA	NA	NA	NA	Illumina10	NA	culture rooting medium:missing: not collected; sample volume or weight for DNA extraction:0.5g; source material identifiers:tbd; isolation and growth condition:selfed; rooting medium carbon:missing: not collected; collection date:2022; rooting medium pH:not applicable; geographic location (longitude):AwKRNAseqMock; plant structure:vegetative; subspecific genetic lineage rank:not applicable; growth facility:Pearl millet; mineral nutrient regimen:not applicable; rooting medium solidifier:missing: not collected; plant growth medium:missing: not collected; plant treatment:not applicable; soil pH:Hydroponics; number of replicons:7; rooting medium regulators:missing: not collected; geographic location (country and/or sea):Saudi Arabia; organism common name:not applicable; organism:Cenchrus americanus; air temperature regimen:low phosphate; rooting medium organic supplements:missing: not collected; watering regimen:addition of acetone; geographic location (latitude):22ï¿½ 18'; scientific name:Cenchrus americanus; rooting medium macronutrients:missing: not collected; rooting medium micronutrients:missing: not collected; subspecific genetic lineage name:not applicable; plant developmental stage:healthy; ploidy:diploid; estimated size:1800000000; propagation:whole root; light regimen:ERC000037; sample health state:not applicable; rooting conditions:missing: not collected; soil taxonomic/FAO classification:missing: not collected; sample disease status:growth chamber
PRJEB71762	ERR12421824	SAMEA115094607	NA	NA	NA	NA	nmS1R1	NA	culture rooting medium:missing: not collected; sample volume or weight for DNA extraction:0.5g; source material identifiers:tbd; isolation and growth condition:selfed; rooting medium carbon:missing: not collected; collection date:2022; rooting medium pH:not applicable; geographic location (longitude):AwKRNAseqMP3; plant structure:vegetative; subspecific genetic lineage rank:not applicable; growth facility:Pearl millet; mineral nutrient regimen:not applicable; rooting medium solidifier:missing: not collected; plant growth medium:missing: not collected; plant treatment:not applicable; soil pH:Hydroponics; number of replicons:7; rooting medium regulators:missing: not collected; geographic location (country and/or sea):Saudi Arabia; organism common name:not applicable; organism:Cenchrus americanus; air temperature regimen:low phosphate; rooting medium organic supplements:missing: not collected; watering regimen:addition of plant hormone MP3 in acetone; geographic location (latitude):22ï¿½ 18'; scientific name:Cenchrus americanus; rooting medium macronutrients:missing: not collected; rooting medium micronutrients:missing: not collected; subspecific genetic lineage name:not applicable; plant developmental stage:healthy; ploidy:diploid; estimated size:1800000000; propagation:whole root; light regimen:ERC000037; sample health state:not applicable; rooting conditions:missing: not collected; soil taxonomic/FAO classification:missing: not collected; sample disease status:growth chamber
PRJEB71762	ERR12421825	SAMEA115094604	NA	NA	NA	NA	Illumina19	NA	culture rooting medium:missing: not collected; sample volume or weight for DNA extraction:0.5g; source material identifiers:tbd; isolation and growth condition:selfed; rooting medium carbon:missing: not collected; collection date:2022; rooting medium pH:not applicable; geographic location (longitude):AwKRNAseq+P; plant structure:vegetative; subspecific genetic lineage rank:not applicable; growth facility:Pearl millet; mineral nutrient regimen:not applicable; rooting medium solidifier:missing: not collected; plant growth medium:missing: not collected; plant treatment:not applicable; soil pH:Hydroponics; number of replicons:7; rooting medium regulators:missing: not collected; geographic location (country and/or sea):Saudi Arabia; organism common name:not applicable; organism:Cenchrus americanus; air temperature regimen:normal phosphate; rooting medium organic supplements:missing: not collected; watering regimen:not applicable; geographic location (latitude):22ï¿½ 18'; scientific name:Cenchrus americanus; rooting medium macronutrients:missing: not collected; rooting medium micronutrients:missing: not collected; subspecific genetic lineage name:not applicable; plant developmental stage:healthy; ploidy:diploid; estimated size:1800000000; propagation:whole root; light regimen:ERC000037; sample health state:not applicable; rooting conditions:missing: not collected; soil taxonomic/FAO classification:missing: not collected; sample disease status:growth chamber
PRJEB71762	ERR12421826	SAMEA115094601	NA	NA	NA	NA	Illumina1	NA	culture rooting medium:missing: not collected; sample volume or weight for DNA extraction:0.5g; source material identifiers:tbd; isolation and growth condition:selfed; rooting medium carbon:missing: not collected; collection date:2022; rooting medium pH:not applicable; geographic location (longitude):P10KRNAseqLowP; plant structure:vegetative; subspecific genetic lineage rank:not applicable; growth facility:Pearl millet; mineral nutrient regimen:not applicable; rooting medium solidifier:missing: not collected; plant growth medium:missing: not collected; plant treatment:not applicable; soil pH:Hydroponics; number of replicons:7; rooting medium regulators:missing: not collected; geographic location (country and/or sea):Saudi Arabia; organism common name:not applicable; organism:Cenchrus americanus; air temperature regimen:low phosphate; rooting medium organic supplements:missing: not collected; watering regimen:not applicable; geographic location (latitude):22ï¿½ 18'; scientific name:Cenchrus americanus; rooting medium macronutrients:missing: not collected; rooting medium micronutrients:missing: not collected; subspecific genetic lineage name:not applicable; plant developmental stage:healthy; ploidy:diploid; estimated size:1800000000; propagation:whole root; light regimen:ERC000037; sample health state:not applicable; rooting conditions:missing: not collected; soil taxonomic/FAO classification:missing: not collected; sample disease status:growth chamber
PRJEB71762	ERR12421919	SAMEA115094602	NA	NA	NA	NA	Illumina12	NA	culture rooting medium:missing: not collected; sample volume or weight for DNA extraction:0.5g; source material identifiers:tbd; isolation and growth condition:selfed; rooting medium carbon:missing: not collected; collection date:2022; rooting medium pH:not applicable; geographic location (longitude):P10KRNAseqMock; plant structure:vegetative; subspecific genetic lineage rank:not applicable; growth facility:Pearl millet; mineral nutrient regimen:not applicable; rooting medium solidifier:missing: not collected; plant growth medium:missing: not collected; plant treatment:not applicable; soil pH:Hydroponics; number of replicons:7; rooting medium regulators:missing: not collected; geographic location (country and/or sea):Saudi Arabia; organism common name:not applicable; organism:Cenchrus americanus; air temperature regimen:low phosphate; rooting medium organic supplements:missing: not collected; watering regimen:addition of acetone; geographic location (latitude):22ï¿½ 18'; scientific name:Cenchrus americanus; rooting medium macronutrients:missing: not collected; rooting medium micronutrients:missing: not collected; subspecific genetic lineage name:not applicable; plant developmental stage:healthy; ploidy:diploid; estimated size:1800000000; propagation:whole root; light regimen:ERC000037; sample health state:not applicable; rooting conditions:missing: not collected; soil taxonomic/FAO classification:missing: not collected; sample disease status:growth chamber
PRJEB71762	ERR12421920	SAMEA115094603	NA	NA	NA	NA	Illumina6	NA	culture rooting medium:missing: not collected; sample volume or weight for DNA extraction:0.5g; source material identifiers:tbd; isolation and growth condition:selfed; rooting medium carbon:missing: not collected; collection date:2022; rooting medium pH:not applicable; geographic location (longitude):P10KRNAseqMP3; plant structure:vegetative; subspecific genetic lineage rank:not applicable; growth facility:Pearl millet; mineral nutrient regimen:not applicable; rooting medium solidifier:missing: not collected; plant growth medium:missing: not collected; plant treatment:not applicable; soil pH:Hydroponics; number of replicons:7; rooting medium regulators:missing: not collected; geographic location (country and/or sea):Saudi Arabia; organism common name:not applicable; organism:Cenchrus americanus; air temperature regimen:low phosphate; rooting medium organic supplements:missing: not collected; watering regimen:addition of plant hormone MP3 in acetone; geographic location (latitude):22ï¿½ 18'; scientific name:Cenchrus americanus; rooting medium macronutrients:missing: not collected; rooting medium micronutrients:missing: not collected; subspecific genetic lineage name:not applicable; plant developmental stage:healthy; ploidy:diploid; estimated size:1800000000; propagation:whole root; light regimen:ERC000037; sample health state:not applicable; rooting conditions:missing: not collected; soil taxonomic/FAO classification:missing: not collected; sample disease status:growth chamber
PRJEB71762	ERR12421922	SAMEA115094600	NA	NA	NA	NA	Illumina2	NA	culture rooting medium:missing: not collected; sample volume or weight for DNA extraction:0.5g; source material identifiers:tbd; isolation and growth condition:selfed; rooting medium carbon:missing: not collected; collection date:2022; rooting medium pH:not applicable; geographic location (longitude):P10KRNAseq+P; plant structure:vegetative; subspecific genetic lineage rank:not applicable; growth facility:Pearl millet; mineral nutrient regimen:not applicable; rooting medium solidifier:missing: not collected; plant growth medium:missing: not collected; plant treatment:not applicable; soil pH:Hydroponics; number of replicons:7; rooting medium regulators:missing: not collected; geographic location (country and/or sea):Saudi Arabia; organism common name:not applicable; organism:Cenchrus americanus; air temperature regimen:normal phosphate; rooting medium organic supplements:missing: not collected; watering regimen:not applicable; geographic location (latitude):22ï¿½ 18'; scientific name:Cenchrus americanus; rooting medium macronutrients:missing: not collected; rooting medium micronutrients:missing: not collected; subspecific genetic lineage name:not applicable; plant developmental stage:healthy; ploidy:diploid; estimated size:1800000000; propagation:whole root; light regimen:ERC000037; sample health state:not applicable; rooting conditions:missing: not collected; soil taxonomic/FAO classification:missing: not collected; sample disease status:growth chamber
PRJEB71762	ERR12506824	SAMEA115094607	NA	NA	NA	NA	Illumina20	NA	culture rooting medium:missing: not collected; sample volume or weight for DNA extraction:0.5g; source material identifiers:tbd; isolation and growth condition:selfed; rooting medium carbon:missing: not collected; collection date:2022; rooting medium pH:not applicable; geographic location (longitude):AwKRNAseqMP3; plant structure:vegetative; subspecific genetic lineage rank:not applicable; growth facility:Pearl millet; mineral nutrient regimen:not applicable; rooting medium solidifier:missing: not collected; plant growth medium:missing: not collected; plant treatment:not applicable; soil pH:Hydroponics; number of replicons:7; rooting medium regulators:missing: not collected; geographic location (country and/or sea):Saudi Arabia; organism common name:not applicable; organism:Cenchrus americanus; air temperature regimen:low phosphate; rooting medium organic supplements:missing: not collected; watering regimen:addition of plant hormone MP3 in acetone; geographic location (latitude):22ï¿½ 18'; scientific name:Cenchrus americanus; rooting medium macronutrients:missing: not collected; rooting medium micronutrients:missing: not collected; subspecific genetic lineage name:not applicable; plant developmental stage:healthy; ploidy:diploid; estimated size:1800000000; propagation:whole root; light regimen:ERC000037; sample health state:not applicable; rooting conditions:missing: not collected; soil taxonomic/FAO classification:missing: not collected; sample disease status:growth chamber
PRJEB71762	ERR12506825	SAMEA115094607	NA	NA	NA	NA	Illumina7	NA	culture rooting medium:missing: not collected; sample volume or weight for DNA extraction:0.5g; source material identifiers:tbd; isolation and growth condition:selfed; rooting medium carbon:missing: not collected; collection date:2022; rooting medium pH:not applicable; geographic location (longitude):AwKRNAseqMP3; plant structure:vegetative; subspecific genetic lineage rank:not applicable; growth facility:Pearl millet; mineral nutrient regimen:not applicable; rooting medium solidifier:missing: not collected; plant growth medium:missing: not collected; plant treatment:not applicable; soil pH:Hydroponics; number of replicons:7; rooting medium regulators:missing: not collected; geographic location (country and/or sea):Saudi Arabia; organism common name:not applicable; organism:Cenchrus americanus; air temperature regimen:low phosphate; rooting medium organic supplements:missing: not collected; watering regimen:addition of plant hormone MP3 in acetone; geographic location (latitude):22ï¿½ 18'; scientific name:Cenchrus americanus; rooting medium macronutrients:missing: not collected; rooting medium micronutrients:missing: not collected; subspecific genetic lineage name:not applicable; plant developmental stage:healthy; ploidy:diploid; estimated size:1800000000; propagation:whole root; light regimen:ERC000037; sample health state:not applicable; rooting conditions:missing: not collected; soil taxonomic/FAO classification:missing: not collected; sample disease status:growth chamber
