BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJEB21674	ERR2040773	SAMEA104170817	NA	NA	NA	NA	M-Y	NA	ENA first public:2017-07-23; ENA last update:2017-07-23; ENA-CHECKLIST:ERC000011; External Id:SAMEA104170817; INSDC center alias:Department of Biological Sciences; INSDC center name:Department of Biological Sciences; INSDC first public:2017-07-23T17:01:29Z; INSDC last update:2017-07-23T05:36:38Z; INSDC status:public; Submitter Id:SOHV; common name:proso millet; sample name:SOHV; sequencer:HiSeq; source mat id:E. Kellogg PI 536011 (MO; tissue type:mature leaf
PRJNA592319	SRR10583843	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583844	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583845	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583846	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583847	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583848	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583849	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583850	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583851	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583852	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583853	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583854	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583855	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583856	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583857	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583858	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583859	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583860	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583861	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583862	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583863	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583864	SAMN13420650	NA	root	NA	ST 47	STR	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583865	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583866	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583867	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583868	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583869	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583870	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583871	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583872	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583873	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583874	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583875	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583876	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583877	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583878	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583879	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583880	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
