BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJDB1973	DRR006369	SAMD00003851	NA	NA	NA	NA	SAMD00003851	NA	sample name:DRS005715;  sample comment:Sorghum (Sorghum bicolor L. Moench) SIL-05  which is resistant to target leaf spot  was used for mRNA seq. Four seeds were sterilized  placed onto Kumiai-Ryujyou-Baido soil (Kureha Chemical  Tokyo  Japan) in each plant box (5Ã5Ã15 cm high) and incubated in a chamber for 7 days under 16 h light and 8 h dark at 28Â°C. On day 7 (about the 2- or 3-leaf stage) the sorghum plants were sprayed with 1 ml of 0.01% Tween-20 solution per plant box. The plants were sampled at 0 h after inoculation. Four biological replicates were collected  immediately frozen in liquid nitrogen  and mixed  to minimize the effect of transcriptome unevenness among plants. Total RNA from 4 plants was extracted with RNeasy (Qiagen  Hilden  Germany). The total RNA was subjected to further analysis. mRNA-seq library construction and sequencing were performed at Hokkaido System Science Co.  Ltd. (Sapporo  Japan) in accordance with the manufacturer’s instructions by using an Illumina (San Diego  CA) TruSeq RNA Sample Prep Kit and 100-bp single-end protocol on a HiSeq2000 system (Illumina).
PRJDB1973	DRR006370	SAMD00003848	NA	NA	NA	NA	SAMD00003848	NA	sample name:DRS005716;  sample comment:Sorghum (Sorghum bicolor L. Moench) SIL-05  which is resistant to target leaf spot  was used for mRNA seq. Four seeds were sterilized  placed onto Kumiai-Ryujyou-Baido soil (Kureha Chemical  Tokyo  Japan) in each plant box (5Ã5Ã15 cm high) and incubated in a chamber for 7 days under 16 h light and 8 h dark at 28Â°C. On day 7 (about the 2- or 3-leaf stage) the sorghum plants were sprayed with 1 ml of 0.01% Tween-20 solution per plant box. The plants were sampled at 12 h after inoculation. Four biological replicates were collected  immediately frozen in liquid nitrogen  and mixed  to minimize the effect of transcriptome unevenness among plants. Total RNA from 4 plants was extracted with RNeasy (Qiagen  Hilden  Germany). The total RNA was subjected to further analysis. mRNA-seq library construction and sequencing were performed at Hokkaido System Science Co.  Ltd. (Sapporo  Japan) in accordance with the manufacturer’s instructions by using an Illumina (San Diego  CA) TruSeq RNA Sample Prep Kit and 100-bp single-end protocol on a HiSeq2000 system (Illumina).
PRJDB1973	DRR006371	SAMD00003850	NA	NA	NA	NA	SAMD00003850	NA	sample name:DRS005717;  sample comment:Sorghum (Sorghum bicolor L. Moench) SIL-05  which is resistant to target leaf spot  was used for mRNA seq. Four seeds were sterilized  placed onto Kumiai-Ryujyou-Baido soil (Kureha Chemical  Tokyo  Japan) in each plant box (5Ã5Ã15 cm high) and incubated in a chamber for 7 days under 16 h light and 8 h dark at 28Â°C. Bipolaris sorghicola isolate BC-24 (MAFF number 511379) was used as the inoculum. The BC-24 strain was grown on vegetable juice (Campbell V8) agar for 10 days in the dark at 25Â°C and then placed under UV light  where it was kept for 10 days to induce conidia formation. Conidia were harvested in 0.01% Tween-20  and the concentration of suspensions was adjusted to 4Ã105 conidia/ml. On day 7 (about the 2- or 3-leaf stage) the sorghum plants were sprayed with 1 ml of this suspension per plant box. The plants were sampled at 12 h after inoculation. Four biological replicates were collected  immediately frozen in liquid nitrogen  and mixed  to minimize the effect of transcriptome unevenness among plants. Total RNA from 4 plants was extracted with RNeasy (Qiagen  Hilden  Germany). The total RNA was subjected to further analysis. mRNA-seq library construction and sequencing were performed at Hokkaido System Science Co.  Ltd. (Sapporo  Japan) in accordance with the manufacturer’s instructions by using an Illumina (San Diego  CA) TruSeq RNA Sample Prep Kit and 100-bp single-end protocol on a HiSeq2000 system (Illumina).
PRJDB1973	DRR006372	SAMD00003852	NA	NA	NA	NA	SAMD00003852	NA	sample name:DRS005718;  sample comment:Sorghum (Sorghum bicolor L. Moench) SIL-05  which is resistant to target leaf spot  was used for mRNA seq. Four seeds were sterilized  placed onto Kumiai-Ryujyou-Baido soil (Kureha Chemical  Tokyo  Japan) in each plant box (5Ã5Ã15 cm high) and incubated in a chamber for 7 days under 16 h light and 8 h dark at 28Â°C. On day 7 (about the 2- or 3-leaf stage) the sorghum plants were sprayed with 1 ml of 0.01% Tween-20 solution per plant box. The plants were sampled at 24 h after inoculation. Four biological replicates were collected  immediately frozen in liquid nitrogen  and mixed  to minimize the effect of transcriptome unevenness among plants. Total RNA from 4 plants was extracted with RNeasy (Qiagen  Hilden  Germany). The total RNA was subjected to further analysis. mRNA-seq library construction and sequencing were performed at Hokkaido System Science Co.  Ltd. (Sapporo  Japan) in accordance with the manufacturer’s instructions by using an Illumina (San Diego  CA) TruSeq RNA Sample Prep Kit and 100-bp single-end protocol on a HiSeq2000 system (Illumina).
PRJDB1973	DRR006373	SAMD00003849	NA	NA	NA	NA	SAMD00003849	NA	sample name:DRS005719;  sample comment:Sorghum (Sorghum bicolor L. Moench) SIL-05  which is resistant to target leaf spot  was used for mRNA seq. Four seeds were sterilized  placed onto Kumiai-Ryujyou-Baido soil (Kureha Chemical  Tokyo  Japan) in each plant box (5Ã5Ã15 cm high) and incubated in a chamber for 7 days under 16 h light and 8 h dark at 28Â°C. Bipolaris sorghicola isolate BC-24 (MAFF number 511379) was used as the inoculum. The BC-24 strain was grown on vegetable juice (Campbell V8) agar for 10 days in the dark at 25Â°C and then placed under UV light  where it was kept for 10 days to induce conidia formation. Conidia were harvested in 0.01% Tween-20  and the concentration of suspensions was adjusted to 4Ã105 conidia/ml. On day 7 (about the 2- or 3-leaf stage) the sorghum plants were sprayed with 1 ml of this suspension per plant box. The plants were sampled at 24 h after inoculation. Four biological replicates were collected  immediately frozen in liquid nitrogen  and mixed  to minimize the effect of transcriptome unevenness among plants. Total RNA from 4 plants was extracted with RNeasy (Qiagen  Hilden  Germany). The total RNA was subjected to further analysis. mRNA-seq library construction and sequencing were performed at Hokkaido System Science Co.  Ltd. (Sapporo  Japan) in accordance with the manufacturer’s instructions by using an Illumina (San Diego  CA) TruSeq RNA Sample Prep Kit and 100-bp single-end protocol on a HiSeq2000 system (Illumina).
PRJDB3281	DRR030758	SAMD00022777	NA	NA	165 days after sowing	BTx623	SAMD00022777	NA	sample name:Seed Sorghum RNA-Seq;  collection date:2011-02-01;  geo loc name:Japan:Kanagawa  Yokohama;  genotype:BTx623;  phenotype:grain sorghum;  subgroup:bicolor;  dev stage:165 days after sowing;  sample type:tissue sample;  tissue type:seed
PRJDB3281	DRR030759	SAMD00022777	NA	NA	165 days after sowing	BTx623	SAMD00022777	NA	sample name:Seed Sorghum RNA-Seq;  collection date:2011-02-01;  geo loc name:Japan:Kanagawa  Yokohama;  genotype:BTx623;  phenotype:grain sorghum;  subgroup:bicolor;  dev stage:165 days after sowing;  sample type:tissue sample;  tissue type:seed
PRJDB3281	DRR030761	SAMD00022778	NA	NA	150 days after sowing	BTx623	SAMD00022778	NA	sample name:Spikelet Sorghum RNA-Seq;  collection date:2011-02-01;  geo loc name:Japan:Kanagawa  Yokohama;  genotype:BTx623;  phenotype:grain sorghum;  subgroup:bicolor;  dev stage:150 days after sowing;  sample type:tissue sample;  tissue type:spikele
PRJDB3281	DRR030762	SAMD00022778	NA	NA	150 days after sowing	BTx623	SAMD00022778	NA	sample name:Spikelet Sorghum RNA-Seq;  collection date:2011-02-01;  geo loc name:Japan:Kanagawa  Yokohama;  genotype:BTx623;  phenotype:grain sorghum;  subgroup:bicolor;  dev stage:150 days after sowing;  sample type:tissue sample;  tissue type:spikele
PRJDB3281	DRR030763	SAMD00022778	NA	NA	150 days after sowing	BTx623	SAMD00022778	NA	sample name:Spikelet Sorghum RNA-Seq;  collection date:2011-02-01;  geo loc name:Japan:Kanagawa  Yokohama;  genotype:BTx623;  phenotype:grain sorghum;  subgroup:bicolor;  dev stage:150 days after sowing;  sample type:tissue sample;  tissue type:spikele
