BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJDB5907	DRR097259	SAMD00084338	NA	NA	NA	NA	b3-FoxtailMillet-control-6h	NA	sample_name:Sg-4_0.5dpi;age:4_weeks;tissue_type:leaf
PRJDB5907	DRR097260	SAMD00084339	NA	NA	NA	NA	b1-FoxtailMillet-control-24h	NA	sample_name:Sg-4_1dpi;age:4_weeks;tissue_type:leaf
PRJDB5907	DRR097261	SAMD00084340	NA	NA	NA	NA	BBTYT	NA	sample_name:Sg-4_2dpi;age:4_weeks;tissue_type:leaf
PRJDB5907	DRR097262	SAMD00084341	NA	NA	NA	NA	BXHOG	NA	sample_name:Sg-4_3dpi;age:4_weeks;tissue_type:leaf
PRJEB67280	ERR12095733	SAMEA114469212	NA	NA	NA	NA	HapC-1-rep1	NA	ENA-CHECKLIST:ERC000011;ENA-FIRST-PUBLIC:2023-10-31T00:35:20Z;ENA-LAST-UPDATE:2023-10-31T00:35:20Z;External_Id:SAMEA114469212;INSDC_center_name:CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCE;INSDC_first_public:2023-10-31T00:35:20Z;INSDC_last_update:2023-10-31T00:35:20Z;INSDC_status:public;Submitter_Id:HapC-1-rep1;collection_date:not_provided;common_name:foxtail_millet;geographic_location_(country_and/or_sea):China;sample_name:HapC-1-rep1;scientific_name:Setaria_italica
PRJEB67280	ERR12095734	SAMEA114469213	NA	NA	NA	NA	HapC-1-rep2	NA	ENA-CHECKLIST:ERC000011;ENA-FIRST-PUBLIC:2023-10-31T00:35:20Z;ENA-LAST-UPDATE:2023-10-31T00:35:20Z;External_Id:SAMEA114469213;INSDC_center_name:CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCE;INSDC_first_public:2023-10-31T00:35:20Z;INSDC_last_update:2023-10-31T00:35:20Z;INSDC_status:public;Submitter_Id:HapC-1-rep2;collection_date:not_provided;common_name:foxtail_millet;geographic_location_(country_and/or_sea):China;sample_name:HapC-1-rep2;scientific_name:Setaria_italica
PRJEB67280	ERR12095735	SAMEA114469214	NA	NA	NA	NA	HapC-2-rep1	NA	ENA-CHECKLIST:ERC000011;ENA-FIRST-PUBLIC:2023-10-31T00:35:20Z;ENA-LAST-UPDATE:2023-10-31T00:35:20Z;External_Id:SAMEA114469214;INSDC_center_name:CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCE;INSDC_first_public:2023-10-31T00:35:20Z;INSDC_last_update:2023-10-31T00:35:20Z;INSDC_status:public;Submitter_Id:HapC-2-rep1;collection_date:not_provided;common_name:foxtail_millet;geographic_location_(country_and/or_sea):China;sample_name:HapC-2-rep1;scientific_name:Setaria_italica
PRJEB67280	ERR12095736	SAMEA114469215	NA	NA	NA	NA	HapC-2-rep2	NA	ENA-CHECKLIST:ERC000011;ENA-FIRST-PUBLIC:2023-10-31T00:35:20Z;ENA-LAST-UPDATE:2023-10-31T00:35:20Z;External_Id:SAMEA114469215;INSDC_center_name:CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCE;INSDC_first_public:2023-10-31T00:35:20Z;INSDC_last_update:2023-10-31T00:35:20Z;INSDC_status:public;Submitter_Id:HapC-2-rep2;collection_date:not_provided;common_name:foxtail_millet;geographic_location_(country_and/or_sea):China;sample_name:HapC-2-rep2;scientific_name:Setaria_italica
PRJEB12846	ERR1294260	SAMEA3880673	NA	NA	NA	NA	GSM892308:_Foxtail_millet_root	NA	ENA_first_public:2016-03-25;ENA_last_update:2016-02-25;ENA-CHECKLIST:ERC000011;External_Id:SAMEA3880673;INSDC_center_alias:CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCE;INSDC_center_name:CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCE;INSDC_first_public:2016-03-25T17:02:31Z;INSDC_last_update:2016-02-25T17:04:55Z;INSDC_status:public;Submitter_Id:S._italica_variety_An04;common_name:foxtail_millet;sample_name:S._italica_variety_An04
PRJEB12956	ERR1305215	SAMEA3889200	NA	NA	NA	NA	unspecified	NA	ENA_first_public:2016-05-07;ENA_last_update:2016-03-08;ENA-CHECKLIST:ERC000011;External_Id:SAMEA3889200;INSDC_center_alias:CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCE;INSDC_center_name:CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCE;INSDC_first_public:2016-05-07T17:08:52Z;INSDC_last_update:2016-03-08T10:16:26Z;INSDC_status:public;Submitter_Id:RNA-seq_of_Yugu1_2;common_name:foxtail_millet;sample_name:RNA-seq_of_Yugu1_2
