QOZ80_1AG0000010	NC domain-containing protein-related	
QOZ80_1AG0000030	AWPM-19-like family protein	OsPM19L2
QOZ80_1AG0000040	SLAC1 homologue 1 (SLAH1);SLAC1 homologue 4 (SLAH4)	OsSLAC7;SLAC;SLAC, OsSLAC
QOZ80_1AG0000050	Leucine-rich repeat protein kinase family protein;Protein kinase superfamily protein	OsBAK1-10, BAK1-10, OsGOM1;OsBRL1;OsBRL3;OsRLCK27
QOZ80_1AG0000060	WRKY42;WRKY6	OsWRKY1, OsWRKY1v2;OsWRKY43;OsWRKY5;OsWRKY73;OsWRKY9
QOZ80_1AG0000080	Carbohydrate-binding X8 domain superfamily protein	OsBGL2
QOZ80_1AG0000100	cAMP-regulated phosphoprotein 19-related protein	
QOZ80_1AG0000110	AtBS1(activation-tagged BRI1 suppressor 1)-interacting factor 1 (AIF1);basic helix-loop-helix (bHLH) DNA-binding superfamily protein;sequence-specific DNA binding transcription factors	OsbHLH176, bHLH176;OsbHLH178, bHLH178;OsbHLH182, bHLH182, OsFIF3, FIF3
QOZ80_1AG0000120	Major facilitator superfamily protein	Os_F0797
QOZ80_1AG0000130	kinesin 4 (ATK4);P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain	OsKCH1, KCH1, OsKCH, KCH, O12;OsPHP3, Hpt5, OsHP4, HP4, OsHpt5, OsHpt5a, OsHpt5b, OsHpt5c
QOZ80_1AG0000140	alpha/beta-Hydrolases superfamily protein;Lipase class 3-related protein	OsTHIS1, CHA-1, OsCHA-1
QOZ80_1AG0000150	60S ribosomal protein L18A-1 (RPL18AA);Ribosomal protein L18ae family	
QOZ80_1AG0000160	NTMC2T6.1;NTMC2T6.2	OsNTMC2T6.1, NTMC2T6.1, OsC2DP3, C2DP3, Tn1a, OsTn1a;OsNTMC2T6.2, OsC2DP15, C2DP15
QOZ80_1AG0000170	D-Tyr-tRNA(Tyr) deacylase family protein	
QOZ80_1AG0000190	Optic atrophy 3 protein (OPA3)	
QOZ80_1AG0000200	indeterminate(ID)-domain 12 (IDD12);indeterminate(ID)-domain 2 (IDD2);Magpie (MGP);nutcracker (NUC)	OsIDD2, ZOS1-04, OsZOS1-04;OsZOS1-05;OsZOS3-04
QOZ80_1AG0000210	unknown protein	
QOZ80_1AG0000240	NAC domain containing protein 25 (NAC025);NAC domain containing protein  2 (NAC2);NAC domain containing protein 47 (NAC047);NAC-like, activated by AP3/PI (NAP)	ONAC010, ONAC10, OsSTA199, OsNAC3, NAC3;ONAC103, OsNAC103, OsNAC18, NAC18;ONAC131;OsNAC4, NAC68, ONAC068, OnNAC4*, OnNAC4, OsNAC4/ONAC068;OsNAP, NAP, ONAC058, ONAC58, Os PS1, PS1, OsCTb1, CTb1
QOZ80_1AG0000250	BARELY ANY MERISTEM 2 (BAM2);HAESA (HAE);HAESA-like 1 (HSL1);HAESA-like 2 (HSL2);Protein kinase family protein with leucine-rich repeat domain	OsHAIKU2, OsRLK7, RLK7, OsMEG1, MEG1
QOZ80_1AG0000260	ACCLIMATION OF PHOTOSYNTHESIS TO  ENVIRONMENT 2 (APE2);glucose 6-phosphate/phosphate translocator 1 (GPT1)	OsGPT1, OsGPT2, GPT2;OsTPT1, TPT, tpt;OsTPT2
QOZ80_1AG0000270	DNAJ heat shock family protein	OsDjB1;OsDjB4;OsDjB5;OsDjB7, DjB7;OsDjB8
QOZ80_1AG0000280	GBF's pro-rich region-interacting factor 1 (GPRI1);GOLDEN2-like 2 (GLK2)	OsGLK1, OsGlk1, GLK1;OsGLK2, OsGlk2
QOZ80_1AG0000300	nucleotide binding	OsWD40-11, OsDWD22, DWD22
QOZ80_1AG0000320	YELLOW STRIPE like 5 (YSL5);YELLOW STRIPE like 6 (YSL6);YELLOW STRIPE like 7 (YSL7);YELLOW STRIPE like 8 (YSL8)	
QOZ80_1AG0000330	D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein	OsAT-IV, OsDIAT
QOZ80_1AG0000350	NAD(P)-binding Rossmann-fold superfamily protein;NmrA-like negative transcriptional regulator family protein	OsIRL
QOZ80_1AG0000360	ribosomal protein S15A B (rps15ab);ribosomal protein S15A E (rps15ae);ribosomal protein S15A (RPS15A);Ribosomal protein S8 family protein	RPS15a, OsRPS15a
QOZ80_1AG0000380	Uncharacterised protein family (UPF0497)	OsCASP_like1;OsCASP_like16;OsCASP_like35
QOZ80_1AG0000390	beta-amylase 1 (BAM1);beta-amylase 2 (BAM2);beta-amylase 4 (BAM4);beta-amylase 5 (BAM5);chloroplast beta-amylase (CT-BMY)	OsBamy2, Bamy2, OsBmy3, Bmy3, OsBMY4, BMY4, OsBAM3, BAM3;OsBamy4, Bamy4, OsBAM4, BAM4;OsBMY2, OsBmy6, Bmy6;OsBMY6, BAM3, OsBAM3, OsBAM5, BAM5;OsSTA246, STA246, OsBamy1, Bamy1, BAM2, OsBAM2, OsBmy9, Bmy9, BMY5, OsBMY5
QOZ80_1AG0000400	NIN like protein 7 (NLP7);Plant regulator RWP-RK family protein	OsNLP1;OsNLP3;OsNLP4, NLP4.1, NLP4.2;OsNLP5, NLP5.1, NLP5.2, NLP5.3, NLP5.4, NLP5.5
QOZ80_1AG0000410	ABL interactor-like protein 2 (ABIL2);ABL interactor-like protein 3 (ABIL3)	
QOZ80_1AG0000420	auxin response factor 1 (ARF1);auxin response factor 9 (ARF9)	OsARF16, OsARF2, OsARF1;OsARF2, OsARF4, ARF4;OsARF7;OsARF9
QOZ80_1AG0000460	ABA-inducible BHLH-type transcription factor (AIB);basic helix-loop-helix (bHLH) DNA-binding superfamily protein	OsbHLH008, bHLH008, OsMYL2, MYL2, DLN6, OsDLN6, OsMYC1, MYC1;OsbHLH009, bHLH009, OsMYC2, MYC2;OsICE1, ICE1, OsbHLH010, bHLH010, OsMYL1, MYL1, bHLH116, OsMYC3, MYC3
QOZ80_1AG0000470	WPP domain-interacting protein 1 (WIT1);WPP domain-interacting protein 2 (WIT2)	
QOZ80_1AG0000480	SOUL heme-binding family protein	
QOZ80_1AG0000490	DEFECTIVE IN MERISTEM SILENCING 3 (DMS3)	
QOZ80_1AG0000510	Protein with RING/U-box and TRAF-like domains;seven in absentia of Arabidopsis 2 (SINAT2)	OsDIS1, RIP5, OsRIP5, OsRING80, RING80, OsSINAT4, SINAT4;OsRFPHC-14, RFPHC-14, OsSTA9, RIP3, OsRIP3, OsRING79, RING79;OsRIP6, OsRING78, RING78;OsSIP14, RIP1, OsRIP1, OsRING77, RING77, OsSINAT3, SINAT3;OsSIP33, RIP2, OsRIP2, OsRING76, RING76, OsSINAT5, SINAT5
QOZ80_1AG0000580	ubiquitin-conjugating enzyme 23 (UBC23);ubiquitin-conjugating enzyme 25 (UBC25);Ubiquitin-conjugating enzyme family protein	OsUBC37;OsUBC39;OsUBC40;OsUBC41;OsUBC43
