AGL6	AGAMOUS-like 13 (AGL13);AGAMOUS-like 6 (AGL6);SEPALLATA 2 (SEP2);SEPALLATA3 (SEP3)	OsMADS17, MADS17, NMADS3, RMADS213, nmads3;OsMADS1, LHS, lhs1, lhs, lhs2, op, nsr, MADS1, LHS1/OsMADS1, Lhs1, AFO, OsLHS1, OsLG3b, LG3b, qLGY3, LGY3, DLN80, OsDLN80, OLR, OsOLR, GW3p6, OsGW3p6, OsMADS1GW3p6, MADS1GW3p6, qLGY3/OsLG3b/GW3p6;OsMADS24, MADS8, OsMADS8, OsMADS8/24;OsMADS6, MADS6, OsMFO1;OsMADS7, OsMADS45, FDRMADS1, RMADS216, AGL6, M79, MADS45, Os MADS7, Os MADS45, OsMADS7/45
atpA	ATPase, F1 complex, alpha subunit protein;ATPase, V1 complex, subunit B protein;ATP synthase subunit 1 (ATP1);ATP synthase subunit alpha (ATPA)	OsRHA5
atpB	ATPase, V1 complex, subunit B protein;ATP synthase alpha/beta family protein;ATP synthase subunit beta (PB)	AtpB;AtpB, OsRHA6
atpE	ATP synthase epsilon chain (ATPE)	AtpB;OsRHA1
atpF	ATPF	
atpH	ATPH	
atpI	ATPI	
CBL1	calcineurin B-like protein 1 (CBL1);calcineurin B-like protein 9 (CBL9)	OsCBL1, Os-CBL1;OsCBL2;OsCBL3;OsCBL6;OsCBL7
ccsA	YCF5	
CDPK1	calcium-dependent protein kinase 21 (CPK21);calcium-dependent protein kinase 33 (CPK33);calmodulin-domain protein kinase 9 (CPK9)	CDPK12, OsCDPK12, OsCPK12, CPK12, OsESL4;OsCDPK19, OsCPK19, OsCDPK2, CPK2, CDPK2
cemA	YCF10	
CIPK1	CBL-interacting protein kinase 15 (CIPK15);CBL-interacting protein kinase 20 (CIPK20);CBL-interacting protein kinase 2 (CIPK2);SOS3-interacting protein 1 (SIP1)	OsCIPK02, CIPK2, OsCIPK2, OsSnRK3.26, SnRK3.26;OsCIPK14, OsSnRK3.33, SnRK3.33;OsCIPK15, OsSnRK3.31, SnRK3.31;OsCIPK18, OsSnRK3.16, SnRK3.16
CIPK2	CBL-interacting protein kinase 15 (CIPK15);CBL-interacting protein kinase 20 (CIPK20);CBL-interacting protein kinase 2 (CIPK2);SOS3-interacting protein 1 (SIP1)	OsCIPK02, CIPK2, OsCIPK2, OsSnRK3.26, SnRK3.26;OsCIPK14, OsSnRK3.33, SnRK3.33;OsCIPK15, OsSnRK3.31, SnRK3.31;OsCIPK18, OsSnRK3.16, SnRK3.16
clpP	CLP protease proteolytic subunit 2 (CLP2);CLP protease proteolytic subunit 3 (CLPP3);nuclear encoded CLP protease 5 (CLPP5);nuclear-encoded CLP protease P7 (NCLPP7);plastid-encoded CLP P (PCLPP)	OsClp9, CLP9
FUL1	AGAMOUS-like 8 (AGL8);APETALA1 (AP1);CAULIFLOWER (CAL);SEPALLATA 2 (SEP2)	MADS14, OsMADS14, FDRMADS6, RMADS211, AGL10;OsMADS15, FDRMADS3, RMADS215, MADS15, DEP
FUL2	AGAMOUS-like 8 (AGL8);APETALA1 (AP1);CAULIFLOWER (CAL);SEPALLATA 2 (SEP2)	MADS14, OsMADS14, FDRMADS6, RMADS211, AGL10;OsMADS15, FDRMADS3, RMADS215, MADS15, DEP
infA	Nucleic acid-binding, OB-fold-like protein	
KN1	KNOTTED1-like homeobox gene 6 (KNAT6);KNOTTED-like from Arabidopsis thaliana 2 (KNAT2);KNOTTED-like from Arabidopsis thaliana (KNAT1);SHOOT MERISTEMLESS (STM)	OSH15, OsH15, OSKN3, Oskn3, HOS3, D6, d6, OSH15/Oskn3, HB253, H15, OsKNOX3, KNOX3, OsRLB;OsH43, H43;OSKN1, Oskn1, OsKN1, OSH1/Oskn1, HB75
LHS1	SEPALLATA1 (SEP1);SEPALLATA 2 (SEP2);SEPALLATA3 (SEP3)	MADS34, OsMADS34, RMADS212/RMADS217/RMADS221, OsPAP2/MADS34, MADS34/PAP2, PAP2/OsMADS34, OsMADS34/PAP2, OsMADS19;OsMADS17, MADS17, NMADS3, RMADS213, nmads3;OsMADS1, LHS, lhs1, lhs, lhs2, op, nsr, MADS1, LHS1/OsMADS1, Lhs1, AFO, OsLHS1, OsLG3b, LG3b, qLGY3, LGY3, DLN80, OsDLN80, OLR, OsOLR, GW3p6, OsGW3p6, OsMADS1GW3p6, MADS1GW3p6, qLGY3/OsLG3b/GW3p6;OsMADS24, MADS8, OsMADS8, OsMADS8/24;OsMADS5, FDRMADS2
LOC101752465	WRKY22;WRKY DNA-binding protein 14 (WRKY14);WRKY DNA-binding protein 27 (WRKY27);WRKY DNA-binding protein 35 (WRKY35)	OsWRKY2;OsWRKY31;OsWRKY37;OsWRKY39;OsWRKY66
LOC101752466	CTC-interacting domain 11 (CID11);CTC-interacting domain 12 (CID12);CTC-interacting domain 8 (CID8);CTC-interacting domain 9 (CID9)	OsDCET1, RRM1-150, OsRRM1-150;OsRRM1-27;OsRRM1-3
LOC101752467	Protein phosphatase 2C family protein	OsPP2C28, OsPP43;OsPP2C72, OsPP114
LOC101752469	CELL GROWTH DEFECT FACTOR 1 (CDF1);Protein of unknown function (DUF3353)	OsV5A, V5A;OsV5B
LOC101752470	heavy metal atpase 5 (HMA5);P-type ATP-ase 1 (PAA1);P-type ATPase of Arabidopsis 2 (PAA2);RESPONSIVE-TO-ANTAGONIST 1 (RAN1)	OsHMA5, osHMA6, HMA5, OsHMP11, HMP11;OsHMA7, osHMA4, HMA7, OsHMP12, HMP12;OsHMA8, osHMA5, HMA8, OsHMP27, HMP27;OsHMA9, oshma9-1, oshma9-2, HMA9, OsHMP33, HMP33
LOC101752471	Leucine-rich repeat (LRR) family protein	
LOC101752472	ACT-like protein tyrosine kinase family protein	OsACTPK1, ACTPK1-1, ACTPK1-2;OsACTPK2;OsACTPK3;OsILA1, OsACTPK4, ACTPK4, OsMAPKKK43, MAPKKK43
LOC101752474	BEST Arabidopsis thaliana protein match is: sequence-specific DNA binding transcription factors (TAIR:AT1G21200.1);sequence-specific DNA binding transcription factors	OsDLN9;OsMSL37, DLN247, OsDLN247, OsGTgamma-2, GTgamma-2;OsMSL40, DLN253, OsDLN253, OsGTgamma-3, GTgamma-3
LOC101752477	Remorin family protein	OsREM6.1;OsREM6.2;OsREM6.5
LOC101752478	Exostosin family protein	
LOC101752479	UDP-Glycosyltransferase superfamily protein	
LOC101752480	Touch 4 (TCH4);xyloglucan endotransglucosylase/hydrolase 12 (XTH12);xyloglucan endotransglucosylase/hydrolase 13 (XTH13);xyloglucan endotransglucosylase/hydrolase 14 (XTH14);xyloglucan endotransglucosylase/hydrolase 25 (XTH25)	OsXTH10;OsXTH11, XTR2, OsXTR2, Meri-5;OsXTH12;OsXTH16;OsXTH17, OsXTH8, XTH8
LOC101752481	ubiquitin-specific protease 20 (UBP20);ubiquitin-specific protease 21 (UBP21);ubiquitin-specific protease 23 (UBP23);ubiquitin-specific protease 25 (UBP25)	OsBIP110, BIP110, OsUBP7-4, UBP7-4, OsUBP28, UBP28;OsUBP7-2, OsUBP23, UBP23;OsUBP8, OsUBP20, UBP20
LOC101752483	germin-like protein 2 (GER2);RmlC-like cupins superfamily protein	OsGLP12-1, OsCDP12.1, CDP12.1;OsGLP12-2, OsCDP12.2, CDP12.2;OsGLP12-3, OsCDP12.3, CDP12.3;OsGLP12-4, OsCDP12.4, CDP12.4;OsGLP8-9, OsCDP8.9, CDP8.9
LOC101752484	Galactosyltransferase family protein	
LOC101752485	FEZ (FEZ);LONG VEGETATIVE PHASE 1 (LOV1);NAC domain containing protein 35 (NAC035);NAC domain containing protein 36 (NAC036);NAC domain containing protein 94 (NAC094)	ONAC022, ONAC22;ONAC063, ONAC63;ONAC075, ONAC75;ONAC087, ONAC87
LOC101752488	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	OsbHLH044, bHLH044, bHLH44, OsbHLH96, bHLH96, bHLH096;OsbHLH045;OsbHLH046;OsbHLH047, bHLH047;OsbHLH048, bHLH048, bHLH48
LOC101752490	calcium-dependent protein kinase 13 (CPK13);calcium-dependent protein kinase 19 (CDPK19);calcium-dependent protein kinase 1 (CDPK1);calcium-dependent protein kinase 32 (CPK32);calmodulin-domain protein kinase 7 (CPK7)	OsCDPK16, OsCPK16, CPK16;OsCDPK21, OsCPK21, CPK21, CPK-21;OsCDPK22, OsCPK22, CPK22;OsCDPK29, OsCPK29;OsCDPK3, OsCPK3, CPK3
LOC101752492	Calcium-binding EF-hand family protein;pollen calcium-binding protein 1 (PC1)	
LOC101752495	cation/H+ exchanger 18 (CHX18);cation/H+ exchanger 4 (CHX4);cation/hydrogen exchanger 14 (CHX14);cation/hydrogen exchanger 15 (CHX15)	OsCHX06, CHX06, OsCHX6, OsCHX15, CHX15;OsCHX07, CHX07, OsCHX7, OsCHX13, CHX13;OsCHX08, CHX08, OsCHX8, OsCHX10, CHX10;OsCHX16, OsCHX9, CHX9;OsCHX17, OsCHX1, CHX1
LOC101752496	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein	OsPR1#012, PR1#012, OsPR1-12, OsPR1.1, PR1.1;OsPR1#021, OsPR1-21;OsPR1a, OsPR-1a, PR1a, OsPR1#074, OsPR1-74, PR-1a, OsSCP, SCP, OsPR1, OsPR1b, PR1alpha, OsPR1alpha;OsPR1, OsPR1a, PR1a, PR1, OsPR1b, PR1b
LOC101752498	patatin-like protein 6 (PLA IIIA);PATATIN-like protein 6 (PLP6);PATATIN-like protein 8 (PLP8);PATATIN-like protein 9 (PLP9)	dep3, OspPLAIIIdelta, pPLAIIIdelta;OspPLAIIIalpha, pPLAIIIalpha;OspPLAIIIbeta, pPLAIIIbeta;OspPLAIIIepsilon, pPLAIIIepsilon;OspPLAIIIgamma, pPLAIIIgamma
LOC101752499	ARM repeat superfamily protein	MMS19
LOC101752502	actin-related protein 9 (ARP9)	
LOC101752503	MMS ZWEI homologue 3 (MMZ3);ubiquitin E2 variant 1D-4 (UEV1D-4)	MMS2, OsUEV1C;OsCROC-1, CROC-1, OsCROC1, OsUEV1B, UEV1B;OsUEV1A;OsUEV1D
LOC101752504	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	OsRGA4L
LOC101752505	MSS1;sugar transporter protein 7 (STP7);sugar transport protein 14 (STP14)	OsMST3, OsSTP3, STP3;OsMST4, OsSTP4, STP4;OsMST5, OsSTP5, STP5;OsMST8, OSMST8, OsSTP8, STP8;OsSTP26
LOC101752507	arogenate dehydratase 1 (ADT1);arogenate dehydratase 4 (ADT4);arogenate dehydratase 5 (ADT5);arogenate dehydratase 6 (ADT6);prephenate dehydratase 1 (PD1)	EIP2;EIP3;Mtr1, PDT, ADT, ADT1/MTR1, OsADT1, OsMTR1;OsADT, ADT
LOC101752510	lipid-binding serum glycoprotein family protein	OsFbox493, Os_F0049, OsFBX332, FBX332
LOC101752511	calmodulin-binding receptor-like cytoplasmic kinase 2 (CRCK2);calmodulin-binding receptor-like cytoplasmic kinase 3 (CRCK3)	OsRLCK100;OsRLCK153;OsRLCK259;OsRLCK48;OsRLCK90
LOC101752512	AT-HSFB2B;heat shock factor 4 (HSF4);heat shock transcription factor  B2A (HSFB2A);heat shock transcription factor B3 (HSFB3);heat shock transcription factor  B4 (HSFB4)	HSfB2a, OsHsfB2a, OsHsf-14, rHsf1, HSF1, HSF14, OsHSF14;HSfB2b, OsHsfB2b, OsHsf-21, rHsf2, HSF2, HSF21, OsHSF21, OsHSF7;HSfB2c, OsHsfB2c, OsHsf-24, HSF24, OsHSF24
LOC101752513	expansin-like A1 (EXLA1);expansin-like A2 (EXLA2);expansin-like A3 (EXLA3)	Os-EXPL2, OsEXPL2;OsEXPLA1, EXPLA1, OsRIP3, RIP3, Os-EXPL1, OsEXPL1
LOC101752514	EXORDIUM (EXO);EXORDIUM like 1 (EXL1);EXORDIUM like 3 (EXL3);EXORDIUM like 5 (EXL5);PHOSPHATE-INDUCED 1 (PHI-1)	OsPHI1, OsPHI-1, PHI-1
LOC101752515	cysteine-rich RLK (RECEPTOR-like protein kinase) 10 (CRK10);cysteine-rich RLK (RECEPTOR-like protein kinase) 15 (CRK15);cysteine-rich RLK (RECEPTOR-like protein kinase) 25 (CRK25);cysteine-rich RLK (RECEPTOR-like protein kinase) 8 (CRK8)	AGP, OsAGP, OsCBMIP-K
LOC101752516	unknown protein	
LOC101752517	FRIGIDA like 1 (FRL1);FRIGIDA like 2 (FRL2);FRIGIDA-like protein	
LOC101752518	probable small nuclear ribonucleoprotein G (SNRNP-G);Small nuclear ribonucleoprotein family protein	
LOC101752519	SPT4 homolog 2 (SPT42);Transcription initiation Spt4-like protein	OsSPT4
LOC101752522	2A phosphatase associated protein of 46 kD (TAP46)	
LOC101752527	Eukaryotic aspartyl protease family protein	OsCLP, CLP
LOC101752535	ATSPS4F;sucrose phosphate synthase 3F (SPS3F)	sps11, OsSPS11, OsSPS5, SPS5;sps1, OsSPS1, SPS
LOC101752538	DARK INDUCIBLE 9 (DIN9);MATERNAL EFFECT EMBRYO ARREST 31 (MEE31)	OsSTA225
LOC101752539	Protein of Unknown Function (DUF239)	OsLOTR1
LOC101752542	double-stranded DNA-binding family protein	OsPDCD5
LOC101752544	zinc transporter 10 precursor (ZIP10);zinc transporter 12 precursor (ZIP12);zinc transporter 1 precursor (ZIP1);zinc transporter 3 precursor (ZIP3);zinc transporter 5 precursor (ZIP5)	OsZIP3;OsZIP4;OsZIP5, OsZIP8, ZIP8, OsZIP9;OsZIP8, OsZIP1, ZIP1, OsZIP13, ZIP13;OsZIP9, ZIP9
LOC101752546	SKP2A;SKP2B	Os_F0723, OsFBL67, FBL67;OsFBL65, FBL65;OsFbox258, Os_F0658, OsFBL22, FBL22
LOC101752552	embryo defective 2394 (emb2394);ribosomal protein L6 family protein	OsRpl6-1
LOC101752553	Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein	OsC3H22, OsC3H23, C3H23;OsC3H23, OsC3H24, C3H24;OsC3H53, OsC3H59, C3H59
LOC101752554	cytochrome B5 isoform A (CB5-A);cytochrome B5 isoform B (CB5-B);cytochrome B5 isoform D (CB5-D);cytochrome B5 isoform E (CB5-E)	OsCYB5-1;OsCYB5-2;OsCYB5-3;OsCYB5-4;OsCYB5-5
LOC101752555	PRA7;prenylated RAB acceptor 1.B4 (PRA1.B4);prenylated RAB acceptor 1.B5 (PRA1.B5);prenylated RAB acceptor 1.E (PRA1.E);prenylated RAB acceptor 1.F4 (PRA1.F4)	OsPIBP4;OsPRA1
