HORVU.MOREX.r3.1HG0000040	peroxin 14 (PEX14)	OsPex14, OsPex14p, OsPEX14
HORVU.MOREX.r3.1HG0000050	SUGAR-INSENSITIVE 3 (SIS3)	OsPTB1, OsRING45, RING45, OsC3HC4_050, C3HC4_050
HORVU.MOREX.r3.1HG0000060	unknown protein	
HORVU.MOREX.r3.1HG0000070	Nucleic acid-binding, OB-fold-like protein	
HORVU.MOREX.r3.1HG0000080	proline-rich extensin-like receptor kinase 10 (PERK10);Protein kinase superfamily protein	OsPERK1;OsRLCK175, OsPERK5, PERK5;OsSTA174, RHS10, OsPERK6, PERK6
HORVU.MOREX.r3.1HG0000090	unknown protein	OsAlR3
HORVU.MOREX.r3.1HG0000110	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein;autoinhibited Ca2+/ATPase II (ACA.l)	osALA1
HORVU.MOREX.r3.1HG0000130	SIN3-like 3 (SNL3);SIN3-like 4 (SNL4)	
HORVU.MOREX.r3.1HG0000140	Calcium-dependent lipid-binding (CaLB domain) family protein;KOBITO (KOB1);unknown protein	
HORVU.MOREX.r3.1HG0000210	CW9;LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	OsNBSGO35, RPP13
HORVU.MOREX.r3.1HG0000220	Disease resistance protein (CC-NBS-LRR class) family;LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	OsNBSGO35, RPP13
HORVU.MOREX.r3.1HG0000240.1.CDS1	disease resistance family protein / LRR family protein;receptor like protein 19 (RLP19);receptor like protein 46 (RLP46);receptor like protein 50 (RLP50)	
HORVU.MOREX.r3.1HG0000250	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	OsNBSGO35, RPP13
HORVU.MOREX.r3.1HG0000280	ECERIFERUM 4 (CER4);fatty acid reductase 1 (FAR1);fatty acid reductase 4 (FAR4);fatty acid reductase 5 (FAR5);fatty acid reductase 8 (FAR8)	OsCER4, OsFAR3, FAR3;OsFAR1;OsFAR4;OsFAR7;OsFAR8
HORVU.MOREX.r3.1HG0000340	Esterase/lipase/thioesterase family protein	OsPES1a;OsPES1b;OsPES2
HORVU.MOREX.r3.1HG0000350	5'-AMP-activated protein kinase beta-2 subunit protein	akin-b, akin-beta, OsSnRK1beta3, SnRK1beta3
HORVU.MOREX.r3.1HG0000360	Protein of Unknown Function (DUF239);unknown protein	
HORVU.MOREX.r3.1HG0000490	Chalcone-flavanone isomerase family protein	OsCHI1
HORVU.MOREX.r3.1HG0000530.1.CDS1	RNI-like superfamily protein	Os_F0607, OsFBL14, FBL14;Os_F0687, OsFBL15, FBL15
HORVU.MOREX.r3.1HG0000540	cell wall-associated kinase (WAK1);wall-associated kinase 2 (WAK2);wall associated kinase 3 (WAK3);wall associated kinase 4 (WAK4);wall associated kinase 5 (WAK5)	OsWAK13;OsWAK5;OsWAK51;OsWAK80
HORVU.MOREX.r3.1HG0000580	Leucine-rich receptor-like protein kinase family protein;Leucine-rich repeat protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain	OsCLV2b
HORVU.MOREX.r3.1HG0000600	Leucine-rich receptor-like protein kinase family protein;Leucine-rich repeat receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain	OsXIK1
HORVU.MOREX.r3.1HG0000610	VPS60.1;VPS60.2	
HORVU.MOREX.r3.1HG0000620		OsRRM1-99
HORVU.MOREX.r3.1HG0000630	VARIANT IN METHYLATION 1 (VIM1);VARIANT IN METHYLATION 3 (VIM3);VARIANT IN METHYLATION 4 (VIM4)	OsDLN109, OsRING375, RING375;OsRFPHC-11, OsRING376, RING376
HORVU.MOREX.r3.1HG0000660	TATA BOX ASSOCIATED FACTOR II 59 (TAFII59);TBP-ASSOCIATED FACTOR 6B (TAF6B)	TAF6
HORVU.MOREX.r3.1HG0000680.1.CDS1	Polynucleotidyl transferase, ribonuclease H-like superfamily protein	
HORVU.MOREX.r3.1HG0000690	Leucine-rich receptor-like protein kinase family protein;Leucine-rich repeat receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain	OsXIK1
HORVU.MOREX.r3.1HG0000710	carotenoid cleavage dioxygenase 1 (CCD1);nine-cis-epoxycarotenoid dioxygenase 2 (NCED2);nine-cis-epoxycarotenoid dioxygenase 3 (NCED3);nine-cis-epoxycarotenoid dioxygenase 5 (NCED5);nine-cis-epoxycarotenoid dioxygenase 9 (NCED9)	OsCCD1, OsCCD4a, CCD4a;OsCCD8d, ZAS-L1, OsZAS-L1, OsZAS1b, ZAS1b, OsCCD8c, CCD8c;OSNCED1, OsNCED-1, OsNCED3, OsNced3, NCED3, OsNCED9, NCED9;OsZAS-L2, OsZAS1c, ZAS1c, OsCCD8d, CCD8d;OsZAS, OsCCD8e, CCD8e
HORVU.MOREX.r3.1HG0000720	Leucine-rich repeat protein kinase family protein;Leucine-rich repeat receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain	Ogg, OsOGG;OsXIK1
