dpca0g000240.841	RING/U-box superfamily protein;RING-H2 finger A3A (RHA3A);ATL8;RING-H2 finger A3B (RHA3B)	OsRING287;OsATL32, OsRING329, RING329;OsRING61;OsRING390;OsLTP1.13, OsLtpI.13
dpca0g000250.841	tonoplast monosaccharide transporter3 (TMT3)	OsHWH2, AZT5, OsAZT5, OsTMT5, TMT5;OsAZT2, OsTMT2, TMT2;OsTMT2, AZT1, OsAZT1, OsTMT1, TMT1
dpca0g000260.841	calmodulin-domain protein kinase 5 (CPK5);calcium dependent protein kinase 6 (CPK6);calcium-dependent protein kinase 26 (CPK26)	OsCDPK6, OsCPK6, CPK6;OsCDPK5, OsCPK5, CPK5;OsCDPK13, OsCPK13, CPK13, OsCDPK7, CDPK7, OsCPK13-1, OsCPK13-2;OsCDPK11, OsCPK11, CPK11;OsCDPK10, OsCPK10, CPK10
dpca0g000500.841	Tetratricopeptide repeat (TPR)-like superfamily protein;Protein of unknown function (DUF3531);Pentatricopeptide repeat (PPR-like) superfamily protein	OsSigP1, SIGP1;OsPILS5, PILS5
dpca0g000290.841	sucrose synthase 6 (SUS6);sucrose synthase 5 (SUS5)	SUS6, SS6, OsScS6, RSs6, RSus6, OsSUS6;SUS5, SS5, OsScS5, RSs5, RSus5, OsSUS5;SUS7, SS7, OsScS7, RSs7, RSus7, OsSUS7;SUS4, SS4, OsScS4, RSs4, RSus4, OsSUS4;sus2, RSus2(t), SUS2, SS1, OsScS1, RSs1, RSus2, OsSUS2, RSS1, RSus1, OsSusy2, Susy2, OsRSUS1, RSUS1
dpca0g000200.841	senescence-associated E3 ubiquitin ligase 1 (SAUL1);ARM repeat superfamily protein	OsPUB24;OsPUB23;OsPUB25, OsPUB25, PUB25;OsPUB22, OsPUB22, PUB22;OsPUB21, OsPUB21, PUB21
dpca0g000210.841	PRLI-interacting factor, putative	
dpca0g000480.841	proline-rich spliceosome-associated (PSP) family protein;pliceosome associated protein-related	
dpca0g000150.841	ferredoxin-related	
dpca0g000270.841	homoserine kinase (HSK)	
dpca0g000100.841	transportin 1 (TRN1);ARM repeat superfamily protein	
dpca0g000110.841	glucose-inhibited division family A protein	
dpca0g000720.841	cytochrome P450, family 715, subfamily A, polypeptide 1 (CYP715A1);cytochrome P450, family 714, subfamily A, polypeptide 1 (CYP714A1);cytochrome P450, family 709, subfamily B, polypeptide 3 (CYP709B3);cytochrome P450, family 709, subfamily B, polypeptide 2 (CYP709B2);cytochrome P450, family 709, subfamily B, polypeptide 1 (CYP709B1)	CYP714C2;OsCYP735A4;CYP735A3;eui1, GA16, 17ox, CYP714D1, EUI, CYP714D1/EUI, OsEUI, LG5, OsLG5
dpca0g000510.841	Endosomal targeting BRO1-like domain-containing protein	
dpca0g000310.841	ARM repeat superfamily protein;Protein of unknown function (DUF177)	
dpca0g000640.841	RING/U-box superfamily protein	OsPUB26, OsPUB26, PUB26
dpca0g000520.841	unknown protein	
dpca0g000130.841	fu-gaeri1 (FUG1);Translation initiation factor 2, small GTP-binding protein;eukaryotic translation initiation factor 2 (eIF-2) family protein	
dpca0g000650.841	NAD(P)-binding Rossmann-fold superfamily protein	
dpca0g000430.841	NAD(P)-binding Rossmann-fold superfamily protein	
dpca0g000670.841	pentatricopeptide repeat 336 (PPR336);Tetratricopeptide repeat (TPR)-like superfamily protein	OsPLS29
dpca0g000280.841	ARGONAUTE 1 (AGO1)	OsAGO1c, OsAGO1, AGO1, AGO1c;OsAGO1d, AGO1d;OsAGO1b, AGO1b, AGO1-2
dpca0g000610.841	NTMC2T5.2;N-terminal-transmembrane-C2 domain type 5.1 (NTMC2T5.1)	OsNTMC2T5, OsC2DP26, C2DP26
dpca0g000390.841	Survival protein SurE-like phosphatase/nucleotidase	
dpca0g000710.841	AT hook motif DNA-binding family protein	OsAHL5, OsAHL6, AHL6;OsAHL18, OsAHL24, AHL24;OsAHP1, OsAHL8, AHL8, OsAHL9, AHL9
dpca0g000540.841	unknown protein	
dpca0g000230.841	unknown protein	
dpca0g000370.841	Zincin-like metalloproteases family protein	
dpca0g000600.841	DWARF 1 (DWF1)	OsBRD2, Dim/dwf1, Dim, dwf1, OsDWF1, DWF1, LTBSG1, OsLTBSG1, LHDD10, OsLHDD10, OsD-LDH3, D-LDH3
dpca0g000620.841	unknown protein	
dpca0g000140.841	SULA	
dpca0g000680.841	unknown protein	
dpca0g000730.841	C2H2-type zinc finger family protein	OsZOS2-19;OsZOS4-03
dpca0g000320.841	CCCH-type zinc finger family protein	OsC3H19;OsC3H32, OsC3H35, C3H35;OsC3H34, DLN132, OsDLN132, OsC3H37, C3H37
dpca0g000330.841	ARM repeat superfamily protein	
dpca0g000530.841	unknown protein	
dpca0g000630.841	metallo-beta-lactamase family protein	
dpca0g000160.841	Peroxidase superfamily protein;RARE COLD INDUCIBLE GENE 3 (RCI3)	prx32, OsPRX32, OsPER64, PER64;prx34, OsPrx34;prx33
dpca0g000180.841	ELC;ELCH-like (ELC-Like);Ubiquitin-conjugating enzyme/RWD-like protein	
dpca0g000550.841	TCP family transcription factor ;TEOSINTE BRANCHED, cycloidea and PCF (TCP) 14 (TCP14)	OsTCP17, TCP17;OsTCP28, TCP28;OsTCP7, CHE;OsTCP6, TCP6;OsTCP19
dpca0g000460.841	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	
dpca0g000470.841	sucrose transporter 2 (SUT2);sucrose-proton symporter 9 (SUC9);sucrose-proton symporter 2 (SUC2);sucrose-proton symporter 1 (SUC1)	OsSUT4(t), OsSUT4;OsSUT1, OsSUT2;OsSUT5(t), OsSUT5Z, OsSUT5
dpca0g000350.841	eukaryotic initiation factor 4A-III (EIF4A-III);DEA(D/H)-box RNA helicase family protein;eukaryotic translation initiation factor 4A1 (EIF4A1);eif4a-2 (EIF4A-2)	
dpca0g000570.841	Transcription factor jumonji (jmjC) domain-containing protein;transcription factor jumonji (jmjC) domain-containing protein	JMJ720, OsRING445, RING445, OsJMJ720;OsJMJ715;OsJMJ719
dpca0g000590.841	DWARF 1 (DWF1);replicon protein A2 (RPA2)	OsBRD2, Dim/dwf1, Dim, dwf1, OsDWF1, DWF1, LTBSG1, OsLTBSG1, LHDD10, OsLHDD10, OsD-LDH3, D-LDH3;OsRPA32, RPA32, RPA2A;RPA2b, OsRPA2b
dpca0g000580.841	polyprenyltransferase 1 (PPT1)	OsPPT1a
dpca0g000690.841	Tetratricopeptide repeat (TPR)-like superfamily protein;Pentatricopeptide repeat (PPR) superfamily protein;LOW PSII ACCUMULATION 66 (LPA66)	OsSTA84;OsSTA208, OsDGK6
dpca0g000700.841	Remorin family protein	OsREM1.1;OsREM1.5;OsREM1.3;OsREM1.4
dpca0g000220.841	glucan synthase-like 12 (GSL12);callose synthase 1 (CALS1)	OsGSL10, CalS3-2, OsCalS3-2;OsGSL6, CalS3, OsCalS3;OsGSL5, OsSTA170, CalS5, OsCalS5
dpca0g000490.841	Putative integral membrane protein conserved region (DUF2404)	
dpca0g000170.841	unknown protein	
dpca0g000340.841	Leucine-rich repeat protein kinase family protein	OsPRK
dpca0g000420.841	DEA(D/H)-box RNA helicase family protein;P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsFbox114, Os_F0103, OsFBX64, FBX64;OsFbox108, Os_F0236, OsFBX60, FBX60;OsFBX71;OsFbox122, Os_F0288, OsFBX72, FBX72
dpca1g002000.841	Leucine-rich repeat protein kinase family protein;EF-TU receptor (EFR)	OsRLCK25;OsRLCK24
dpca1g052970.841	galacturonosyltransferase 7 (GAUT7);galacturonosyltransferase 4 (GAUT4);galacturonosyltransferase 3 (GAUT3)	OsGAUT17;OsGAUT19;OsGAUT18;OsGAUT15;OsGAUT16
dpca1g048890.841	histone deacetylase 8 (HDA08);histone deacetylase 5 (HDA05);histone deacetylase of the RPD3/HDA1 superfamily 18 (HDA18)	OsHDA712;OsHDA717;OsHDA716;OsHDAC10, HDA714, OsHDA714, ASDAC, OsASDAC;OsHDA713
dpca1g033400.841	basic leucine-zipper 44 (bZIP44);G-box binding factor 6 (GBF6)	OsbZIP65;OsbZIP71, DLN221, OsDLN221, DLN222, OsDLN222;OsbZIP14
dpca1g008230.841	receptor like protein 2 (RLP2);Leucine-rich receptor-like protein kinase family protein;receptor like protein 3 (RLP3);phytosylfokine-alpha receptor 2 (PSKR2)	OsLRK2, OsPSKR8, PSKR8
