dpca0g000640.840	pentatricopeptide repeat 336 (PPR336);Tetratricopeptide repeat (TPR)-like superfamily protein	OsPLS29
dpca0g000430.840	NAD(P)-binding Rossmann-fold superfamily protein	
dpca0g000330.840	ARM repeat superfamily protein	
dpca0g000250.840	calmodulin-domain protein kinase 5 (CPK5);calcium dependent protein kinase 6 (CPK6);calcium-dependent protein kinase 26 (CPK26)	OsCDPK6, OsCPK6, CPK6;OsCDPK5, OsCPK5, CPK5;OsCDPK13, OsCPK13, CPK13, OsCDPK7, CDPK7, OsCPK13-1, OsCPK13-2;OsCDPK11, OsCPK11, CPK11;OsCDPK10, OsCPK10, CPK10
dpca0g000220.840	unknown protein	
dpca0g000710.840	THO7	
dpca0g000770.840	ATG2	OsMetAP5, MetAP5
dpca0g000110.840	fu-gaeri1 (FUG1);Translation initiation factor 2, small GTP-binding protein;eukaryotic translation initiation factor 2 (eIF-2) family protein	
dpca0g000610.840	unknown protein	
dpca0g000520.840	unknown protein	
dpca0g000320.840	CCCH-type zinc finger family protein	OsC3H19;OsC3H32, OsC3H35, C3H35;OsC3H34, DLN132, OsDLN132, OsC3H37, C3H37
dpca0g000280.840	sucrose synthase 6 (SUS6);sucrose synthase 5 (SUS5)	SUS6, SS6, OsScS6, RSs6, RSus6, OsSUS6;SUS5, SS5, OsScS5, RSs5, RSus5, OsSUS5;SUS7, SS7, OsScS7, RSs7, RSus7, OsSUS7;SUS4, SS4, OsScS4, RSs4, RSus4, OsSUS4;sus2, RSus2(t), SUS2, SS1, OsScS1, RSs1, RSus2, OsSUS2, RSS1, RSus1, OsSusy2, Susy2, OsRSUS1, RSUS1
dpca0g000600.840	NTMC2T5.2;N-terminal-transmembrane-C2 domain type 5.1 (NTMC2T5.1)	OsNTMC2T5, OsC2DP26, C2DP26
dpca0g000140.840	Peroxidase superfamily protein;RARE COLD INDUCIBLE GENE 3 (RCI3)	prx32, OsPRX32, OsPER64, PER64;prx34, OsPrx34;prx33
dpca0g000470.840	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	OsUCIP13
dpca0g000540.840	TCP family transcription factor ;TEOSINTE BRANCHED, cycloidea and PCF (TCP) 14 (TCP14)	OsTCP17, TCP17;OsTCP28, TCP28;OsTCP7, CHE;OsTCP6, TCP6;OsTCP19
dpca0g000130.840	RAC-like 3 (RAC3);RAC-like GTP binding protein 5 (ARAC5);Arabidopsis RAC-like 1 (ARAC1)	Osrac5, OsRac5, RACD, OsRacD, OsRACD;OSRAC7, OsRac7, ROP5, OsRop5;OsRacB, RacB, OsRac6;OsRac3
dpca0g000150.840	unknown protein	
dpca0g000210.840	glucan synthase-like 12 (GSL12);callose synthase 1 (CALS1)	OsGSL10, CalS3-2, OsCalS3-2;OsGSL6, CalS3, OsCalS3;OsGSL5, OsSTA170, CalS5, OsCalS5
dpca0g000950.840	glucose-inhibited division family A protein	
dpca0g000300.840	ARM repeat superfamily protein;Protein of unknown function (DUF177)	
dpca0g000510.840	unknown protein	
dpca0g000350.840	eukaryotic initiation factor 4A-III (EIF4A-III);DEA(D/H)-box RNA helicase family protein;eukaryotic translation initiation factor 4A1 (EIF4A1);eif4a-2 (EIF4A-2)	
dpca0g000800.840	glucan synthase-like 10 (GSL10);glucan synthase-like 8 (GSL8);glucan synthase-like 7 (GSL07)	OsGSL1, CalS10, OsCalS10, OsGSL10, GSL10;OsGSL6, CalS3, OsCalS3;OsGSL5, OsSTA170, CalS5, OsCalS5;OsGSL10, CalS3-2, OsCalS3-2
dpca0g000660.840	Tetratricopeptide repeat (TPR)-like superfamily protein;Pentatricopeptide repeat (PPR) superfamily protein;LOW PSII ACCUMULATION 66 (LPA66)	OsSTA84;OsSTA208, OsDGK6
dpca0g000340.840	Leucine-rich repeat protein kinase family protein	OsPRK
dpca0g000200.840	PRLI-interacting factor, putative	
dpca0g000590.840	DWARF 1 (DWF1)	OsBRD2, Dim/dwf1, Dim, dwf1, OsDWF1, DWF1, LTBSG1, OsLTBSG1, LHDD10, OsLHDD10, OsD-LDH3, D-LDH3
dpca0g000230.840	RING/U-box superfamily protein;RING-H2 finger A3A (RHA3A);ATL8;RING-H2 finger A3B (RHA3B)	OsRING287;OsATL32, OsRING329, RING329;OsRING61;OsRING390;OsLTP1.13, OsLtpI.13
dpca0g000530.840	unknown protein	
dpca0g000620.840	metallo-beta-lactamase family protein	
dpca0g000650.840	unknown protein	
dpca0g001000.840	quatre-quart2 (QQT2)	
dpca0g000560.840	Transcription factor jumonji (jmjC) domain-containing protein;transcription factor jumonji (jmjC) domain-containing protein	JMJ720, OsRING445, RING445, OsJMJ720;OsJMJ715;OsJMJ719
dpca0g000480.840	sucrose transporter 2 (SUT2);sucrose-proton symporter 9 (SUC9);sucrose-proton symporter 2 (SUC2);sucrose-proton symporter 1 (SUC1)	OsSUT4(t), OsSUT4;OsSUT1, OsSUT2;OsSUT5(t), OsSUT5Z, OsSUT5
dpca0g000420.840	DEA(D/H)-box RNA helicase family protein;P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsFbox114, Os_F0103, OsFBX64, FBX64;OsFbox108, Os_F0236, OsFBX60, FBX60;OsFBX71;OsFbox122, Os_F0288, OsFBX72, FBX72
dpca0g000260.840	homoserine kinase (HSK)	
dpca0g000170.840	ELC;ELCH-like (ELC-Like);Ubiquitin-conjugating enzyme/RWD-like protein	
